instrument,ref_month,release_date,asof,effective_asof,frozen,call_bp,realized_bp,deviation_bp,bench_seasonal_naive_bp,bench_ar1_bp,bench_zero_bp,attribution
cpi_core,2021-05-01,2021-06-10,2021-06-07,2021-06-06,True,36.26,70.26,-34.0,11.37,82.99,0.0,"{'SETB01': 428.6, 'SETA02': 291.7}"
cpi_headline,2021-06-01,2021-07-13,2021-07-10,2021-07-09,True,56.88,92.91,-36.02,24.03,80.17,0.0,"{'SETB01': 253.9, 'SETA02': 412.6}"
cpi_core,2021-06-01,2021-07-13,2021-07-10,2021-07-09,True,44.73,84.27,-39.54,11.26,70.26,0.0,"{'SETB01': 253.9, 'SETA02': 412.6}"
cpi_headline,2021-07-01,2021-08-11,2021-08-08,2021-08-07,True,37.04,48.11,-11.06,5.7,92.91,0.0,"{'SETB01': 227.6, 'SETA02': 231.0}"
cpi_core,2021-07-01,2021-08-11,2021-08-08,2021-08-07,True,30.9,33.36,-2.46,9.75,84.27,0.0,"{'SETB01': 227.6, 'SETA02': 231.0}"
cpi_headline,2021-08-01,2021-09-14,2021-09-11,2021-09-10,True,19.49,20.66,-1.17,7.11,48.11,0.0,"{'SETB01': 67.1, 'SETA02': -64.5}"
cpi_core,2021-08-01,2021-09-14,2021-09-11,2021-09-10,True,16.41,12.93,3.48,18.2,33.36,0.0,"{'SETB01': 67.1, 'SETA02': -64.5}"
cpi_headline,2021-09-01,2021-10-13,2021-10-10,2021-10-09,True,17.42,27.16,-9.74,14.24,20.66,0.0,"{'SETB01': 52.6, 'SETA02': -128.0}"
cpi_core,2021-09-01,2021-10-13,2021-10-10,2021-10-09,True,14.54,13.49,1.05,19.04,12.93,0.0,"{'SETB01': 52.6, 'SETA02': -128.0}"
cpi_headline,2021-10-01,2021-11-10,2021-11-07,2021-11-06,True,30.74,83.08,-52.34,-0.57,27.16,0.0,"{'SETB01': 351.0, 'SETA02': -19.6}"
cpi_core,2021-10-01,2021-11-10,2021-11-07,2021-11-06,True,22.47,61.92,-39.45,21.0,13.49,0.0,"{'SETB01': 351.0, 'SETA02': -19.6}"
cpi_headline,2021-11-01,2021-12-10,2021-12-07,2021-12-06,True,35.17,49.13,-13.97,-19.47,83.08,0.0,"{'SETB01': 305.9, 'SETA02': 263.0}"
cpi_core,2021-11-01,2021-12-10,2021-12-07,2021-12-06,True,25.52,40.37,-14.85,0.46,61.92,0.0,"{'SETB01': 305.9, 'SETA02': 263.0}"
cpi_headline,2021-12-01,2022-01-12,2022-01-09,2022-01-08,True,20.12,30.73,-10.6,-15.74,49.13,0.0,"{'SETB01': -251.0, 'SETA02': 459.0}"
cpi_core,2021-12-01,2022-01-12,2022-01-09,2022-01-08,True,28.99,40.81,-11.82,-7.49,40.37,0.0,"{'SETB01': -251.0, 'SETA02': 459.0}"
cpi_headline,2022-01-01,2022-02-08,2022-02-05,2022-02-04,True,51.07,84.15,-33.07,27.48,30.73,0.0,"{'SETB01': 23.6, 'SETA02': 195.5}"
cpi_core,2022-01-01,2022-02-08,2022-02-05,2022-02-04,True,50.49,73.54,-23.05,30.87,40.81,0.0,"{'SETB01': 23.6, 'SETA02': 195.5}"
cpi_headline,2022-02-01,2022-03-10,2022-03-07,2022-03-06,True,66.03,91.34,-25.31,36.23,84.15,0.0,"{'SETB01': 590.0, 'SETA02': 79.7}"
cpi_core,2022-02-01,2022-03-10,2022-03-07,2022-03-06,True,47.65,72.13,-24.48,40.0,73.54,0.0,"{'SETB01': 590.0, 'SETA02': 79.7}"
cpi_headline,2022-03-01,2022-04-12,2022-04-09,2022-04-08,True,91.81,133.51,-41.7,37.9,91.34,0.0,"{'SETB01': 1932.9, 'SETA02': 1.1}"
cpi_core,2022-03-01,2022-04-12,2022-04-09,2022-04-08,True,30.38,43.26,-12.88,26.14,72.13,0.0,"{'SETB01': 1932.9, 'SETA02': 1.1}"
cpi_headline,2022-04-01,2022-05-11,2022-05-08,2022-05-07,True,19.11,55.83,-36.72,29.8,133.51,0.0,"{'SETB01': -258.9, 'SETA02': -105.0}"
cpi_core,2022-04-01,2022-05-11,2022-05-08,2022-05-07,True,20.73,53.27,-32.54,20.97,43.26,0.0,"{'SETB01': -258.9, 'SETA02': -105.0}"
cpi_headline,2022-05-01,2022-06-10,2022-06-07,2022-06-06,True,52.94,110.24,-57.3,34.77,55.83,0.0,"{'SETB01': 787.1, 'SETA02': -166.1}"
cpi_core,2022-05-01,2022-06-10,2022-06-07,2022-06-06,True,20.53,57.07,-36.54,18.94,53.27,0.0,"{'SETB01': 787.1, 'SETA02': -166.1}"
cpi_headline,2022-06-01,2022-07-13,2022-07-10,2022-07-09,True,74.92,137.36,-62.44,32.64,110.24,0.0,"{'SETB01': 1054.1, 'SETA02': -51.0}"
cpi_core,2022-06-01,2022-07-13,2022-07-10,2022-07-09,True,26.57,74.32,-47.75,20.84,57.07,0.0,"{'SETB01': 1054.1, 'SETA02': -51.0}"
cpi_headline,2022-07-01,2022-08-10,2022-08-07,2022-08-06,True,7.59,-1.18,8.77,11.22,137.36,0.0,"{'SETB01': -723.9, 'SETA02': 33.5}"
cpi_core,2022-07-01,2022-08-10,2022-08-07,2022-08-06,True,27.38,32.78,-5.4,13.1,74.32,0.0,"{'SETB01': -723.9, 'SETA02': 33.5}"
cpi_headline,2022-08-01,2022-09-13,2022-09-10,2022-09-09,True,-22.0,-3.54,-18.45,8.19,-1.18,0.0,"{'SETB01': -1236.6, 'SETA02': -63.5}"
cpi_core,2022-08-01,2022-09-13,2022-09-10,2022-09-09,True,17.03,51.82,-34.79,17.33,32.78,0.0,"{'SETB01': -1236.6, 'SETA02': -63.5}"
